class_name,batch_idx,global_shape,holes_slots,protrusions,relative_positions
M58-FORK定位固定片,1,"L-shaped metal bracket with a rectangular profile.
Features a flat base with a slight bend.
Two elongated slots vertically aligned on the upper section.","One large circular hole centrally located.
Two elongated slots on the upper section, parallel to each other.
Smaller circular holes near the bottom edge.
Rectangular slot near the top edge.","Raised edges along the sides.
Slight protrusion along the bottom edge.
Protruding lip on the bottom edge.","The two slots are evenly spaced apart and parallel.
The large circular hole is centrally located between the slots.
The smaller circular holes are near the bottom edge, adjacent to the slots.
The rectangular slot is positioned near the top edge, parallel to the longer edges."
M58-FORK定位固定片,2,"L-shaped metal bracket configuration.
Main body features a rigid structure with a slight bend.
Flat base with a slight upward curve.","Two elongated slots on the vertical side.
One large circular hole centrally located.
Rectangular slot near the top edge.
Small circular hole near the bottom right.
Oval hole positioned towards the left side.
Small elongated slot near the bottom edge.","Smooth, flat protrusion along the bottom edge.
Raised edges along the sides for structural support.
Slight outward bend on the horizontal section.
Flat protruding edge along the bottom.","Slots are evenly spaced along the vertical side.
Circular hole is centrally aligned with the slots.
Mounting holes are positioned symmetrically on the base.
Slots are parallel to each other on the upper part.
Oval holes are centrally aligned with the component's width."
M58-FORK定位固定片,3,"L-shaped metal bracket configuration.
Rectangular base with rounded corners.
Flat rectangular surface with slight bend.","One large circular hole centrally located.
Two elongated slots on the upper surface, parallel and horizontally aligned.
Smaller circular hole near the bottom edge.
Oval-shaped hole on the left side with a smaller adjacent circular hole.
Rectangular slot near the top edge.
Semi-circular cutout on the side.
Single elongated slot on the left side.
Vertical slot aligned with the circular hole.
Small notch on the right side.
U-shaped cutout on one side.","Raised edges along the sides for structural support.
Protruding tab on the left side.
Slight protrusion on the flat base.
Raised edge along the bottom side.
Protruding tab at the bottom right corner.","Slots are symmetrically aligned on the upper surface.
Circular holes are positioned symmetrically on the base.
Mounting holes are positioned near the bottom corners for stability.
Large circular hole is centrally located on the flat surface.
Smaller hole is positioned to the right of the central hole.
Rectangular slot is positioned parallel to the longer side.
Semi-circular cutout is aligned with the shorter side.
Protruding tab is aligned with the right edge.
Oval holes are centrally aligned with the component's width.
Slots are positioned parallel to each other."
M58-FORK定位固定片,4,"L-shaped metal bracket configuration.
Main body features a rigid structure with a right-angled bend.
Flat base with slight overhang and smooth transition to the L-shaped body.","One large circular hole located centrally.
Two elongated slots on the upper section, parallel to each other.
Rectangular slot near the top edge of the vertical part.
Small circular holes positioned near the bottom edge and corners.","Raised edges along the sides of the L-shape.
Protruding lip on the bottom edge.
Flat, rectangular base with rounded corners.
Smooth, flat protrusion along the bottom edge.","The slots are symmetrically aligned on the upper part.
The central hole is aligned with the bend of the L-shape.
The smaller hole is situated towards the end of the elongated section.
The mounting holes are positioned at the bottom corners of the base.
The slots are symmetrically positioned on either side of the L-shape."
M58-FORK定位固定片,5,"L-shaped metal bracket configuration.
Main body features a rigid structure with a slight overhang on one side.
Flat base with a slight upward curve.","One large circular hole positioned centrally.
Two elongated slots on the vertical side, symmetrically aligned.
Rectangular slot near the edge, aligned parallel to the base edge.
Small circular holes near the bottom edge, symmetrically placed.","Raised edges along the sides for structural support.
Protruding lip on the bottom edge.
Small protruding tab on the left side.
Flat protrusion along the bottom edge.","The two slots are symmetrically aligned on the vertical side.
The circular hole is positioned near the bend of the L-shape.
The rectangular slot is aligned parallel to the base edge.
The small circular holes are positioned near the base of the horizontal section."
M58-FORK定位固定片,6,"L-shaped metal bracket with a flat rectangular sheet profile.
Features a vertical elongated slot on the left side.
Rectangular L-shaped profile with a slight upward curve on the base.","One large circular hole centrally located.
Two elongated oval holes aligned vertically.
Rectangular slot near the edge of the L-shape.
Smaller circular holes near the bottom left and right corners.
Vertical slot positioned near the top edge.
Rectangular slot near the top edge.","Raised edges along the sides of the L-shape.
Smooth horizontal protrusion at the base.
Slight indentation on the bottom edge of the horizontal section.
Flat horizontal base extending from the main body.","Two elongated slots symmetrically aligned on the vertical side.
Smaller holes arranged around the central opening.
Slots aligned parallel to each other on the upper section.
Rectangular slot positioned above the central hole.
Smaller hole located near the bottom right corner.
Slots aligned horizontally on the flat surface."
M58-FORK定位固定片,7,"L-shaped metal bracket configuration.
Features a flat base with a slight overhang.
Smooth, flat surface with rounded corners.","One large circular hole centrally located.
Two elongated slots on the upper side.
Rectangular slot near the top edge.
Small circular holes near the corners and edges.","Raised edges along the sides of the L-shape.
Slightly rounded edges for smooth transition.
Protruding lip along the top edge.
Flat base with a slight protrusion on the bottom edge.","Slots are aligned parallel to each other.
Circular hole is centrally aligned with the L-shape.
Slots are positioned symmetrically on the upper section.
Smaller holes are arranged around the central opening.
Rectangular slot is aligned parallel to the longer side of the L-shape."
M58-FORK定位固定片,8,"L-shaped metal bracket configuration.
Vertical elongated slot on the side.
Rectangular base with two elongated slots.
Hexagonal base with two elongated slots.
Flat top with two parallel slots.","One large circular hole in the center.
Two elongated oval holes.
Small circular hole near the top.
Rectangular cutout on the right side.
Large oval hole near the corner.
Small circular hole near the bottom.
Central elongated slot on the vertical leg.
Narrow slot parallel to the larger slot.
Small hole near the central area.
Oval hole towards the left side.
Small circular hole near the bottom left corner.
Small circular hole near the bottom right corner.
Flat base with two mounting holes.
Flat base with a single circular hole.
Flat base with a slight upward curve on the right side.
Flat base with a single mounting hole.","Flat base extending from the corner.
Protruding tab on the shorter side.
Raised edges along the sides of the L-shape.
Protruding tab on the right side.
Slight protrusion along the bottom edge.
Protruding tab on the horizontal side.
Protruding base with a central hole.
Flat protruding edge on the horizontal side.
Base with a slight upward curve.
Raised edges along the sides for structural support.
Smooth, straight side profile.
Rounded protrusions at the corners.
Raised edge along the longer side.
Sharply angled corner.","Rectangular slot aligned parallel to the vertical edge.
Circular hole positioned above the rectangular slot.
Oval hole positioned closer to the corner.
Slots aligned parallel to each other on the flat surface.
Slots aligned horizontally on the flat surface.
Circular hole centrally located between the slots.
Small circular hole located above the elongated slot.
Central oval hole aligned with the curved base.
Oval holes centrally aligned with the component's length.
Slots symmetrically aligned on the upper part.
Holes positioned at opposite ends of the component.
Circular holes aligned vertically on the lower section.
Slots positioned vertically on the left side.
Circular hole located near the bottom of the base.
Slots aligned vertically on the vertical side.
Mounting holes positioned symmetrically on the base.
Circular hole positioned centrally on the flat base.
Elongated slots aligned parallel to the longer side of the L-shape.
Circular hole positioned towards the left side.
Rectangular slot aligned parallel to the top edge.
Slots aligned parallel to each other.
Holes positioned symmetrically on the flat surface.
Mounting hole positioned at the end of the L-shape.
Slots aligned with the longer side of the bracket."
M58-FORK定位固定片,9,"L-shaped metal bracket configuration.
Rectangular base with rounded corners.
Main body features a rigid structure.","One large circular hole located centrally.
Two elongated slots on the flat surface.
Small circular holes near the base.
Rectangular slot near the top edge.
Small oval hole adjacent to the larger circular hole.","Raised edges along the sides.
Protruding tab at the end of the L-shape.
Smooth transition between the flat base and the L-shaped top.
Slight protrusion at the bottom of the base section.","The rectangular slot is positioned parallel to the base.
The larger circular hole is positioned closer to the arm.
The slots are symmetrically aligned on the upper side.
The protrusion is located at the end of the L-shaped structure.
The smaller circular hole is positioned adjacent to the central slot."
M58-FORK定位固定片,10,"Rectangular base with rounded corners.
L-shaped metal bracket configuration.
Vertical extension from the rectangular base.
Flat base with a slight upward curve.","Two elongated oval holes near the top.
Two elongated slots on the upper surface.
Large oval-shaped hole near the center.
Small circular holes near the bottom.
Rectangular cutout on the side.
Vertical slot on the left and right sides.
Large central rectangular opening.","Slightly raised border along the perimeter.
Smooth contour along the bottom edge.
Raised edges along the sides.
Two small circular holes near the bottom.
Smooth transition between flat and angled surfaces.","Two slots symmetrically placed on the upper section.
Oval holes aligned parallel to each other.
Slots aligned horizontally across the component.
Mounting holes symmetrically on the flat base.
Slots symmetrically aligned on the front side.
Oval-shaped hole slightly off-center towards the left.
Slots parallel to each other on the upper surface.
Circular holes evenly spaced at the bottom."
M58-FORK定位固定片,11,"Rectangular metal plate with rounded corners.
L-shaped metal bracket configuration.
Vertical extension from the rectangular base.","Two circular holes on opposite sides.
Two elongated oval holes near the top.
Two elongated slots on the front face.
One large oval-shaped hole in the center.
Small circular holes near the bottom corners.","Raised edges along the sides.
Slightly raised edges for structural support.
Smooth, flat surface with rounded corners.","Holes are symmetrically placed.
Slots are evenly spaced apart.
Left slot is positioned slightly higher than the right slot.
Oval holes are aligned parallel to each other.
Slots are centrally located on the component."
M58-FORK定位固定片,12,"L-shaped metal bracket.
Flat rectangular shape with a slight taper.
Rectangular metal plate with rounded corners.
L-shaped metal plate.","Two elongated slots vertically aligned.
One large circular hole in the center.
Rectangular slot near the top edge.
Two small circular holes near the bottom edge.
Two oval holes positioned towards the left and right sides.
Two elongated oval holes.","Smooth, flat surface without raised edges.
Slightly wider base compared to the vertical section.
Raised edges along the bottom side.
Uniform thickness throughout the body.
Flat base with slight protrusion at the bottom.
Raised border along the top edge.","Slots are symmetrically positioned on the vertical section.
Mounting holes located at the bottom corners of the base.
Slots are centrally located on the component.
Holes are evenly spaced apart from the slots.
Left slot aligned parallel to the bottom edge.
Right slot aligned parallel to the top edge.
Circular hole positioned centrally between the two slots.
Small holes located at the bottom corners of the base.
Smaller hole positioned directly below the central opening.
Oval holes centrally aligned on the rectangular plate."
M58-FORK定位固定片,13,"L-shaped metal bracket configuration.
Main body features a flat, rectangular shape with a slight taper.
Two elongated slots vertically aligned on the upper section.","One large circular hole located centrally.
Two elongated slots near the top, symmetrically positioned.
Two small circular holes at the bottom corners, aligned horizontally.
Rectangular slot near the top edge, parallel to the L-shape's corner.","Raised edges along the bottom and sides.
Slight protrusion on the right side.
Smooth transition between the flat base and the angled section.","The two slots are symmetrically positioned on the vertical section.
The small circular holes are evenly spaced on the flat base.
The oval holes are centrally aligned on the plate.
The rectangular slot is positioned parallel to the L-shape's corner."
M58-FORK定位固定片,14,"L-shaped metal bracket configuration.
Rectangular base with rounded corners.
Two elongated slots on the upper section.
Vertical section features elongated slots.","One large circular hole centrally located.
Two small circular holes on the lower edge.
Rectangular slot near the top edge.
Two small circular holes positioned at the bottom corners.
Central void with rounded edges.
Narrow vertical slot on the left side.
Central elongated slot.
Oval-shaped hole on the left side with a smaller adjacent hole.","Raised edges along the sides.
Protruding lip on the bottom edge.
Smooth, flat surface without protrusions.
Slight protrusion along the bottom side.
Smooth transition between the base and the upper section.","Two smaller holes arranged symmetrically on the base.
Slots aligned parallel to each other on the upper part.
Circular holes positioned symmetrically on the lower side.
Slots symmetrically aligned on the vertical section.
Base holes aligned horizontally at the bottom.
Slots symmetrically positioned on the vertical face.
Mounting holes positioned at the bottom corners.
Oval-shaped hole positioned towards the left side."
M58-FORK定位固定片,15,"L-shaped metal bracket configuration.
Main body features a rigid structure.
Flat base with slight overhang.
Central void with curved outline.","One large circular hole located centrally.
Two elongated slots on the upper section, vertically aligned.
Two small circular holes near the bottom corners.
Rectangular slot near the top edge.
Semi-circular cutout on one side.","Raised edges along the top and bottom.
Slightly beveled edges for smooth transition.
Smooth outline with no sharp corners.
Flat, horizontal base extending from the L-shape.","Slots are symmetrically aligned on the upper part.
Smaller holes are symmetrically placed on the bottom side.
Mounting holes positioned at the bottom corners.
Central hole flanked by two smaller slots.
Slots are evenly spaced apart on the vertical section."
M58-FORK定位檢知片,1,"L-shaped metal bracket.
Rectangular base with a flat top surface.
Flat base extending horizontally.","One large circular hole in the center.
Two circular holes on the flat surface.
Large rectangular slot near the top edge.
Smaller rectangular slot near the bottom edge.
Smaller circular hole near the right side.
Smaller circular hole near the left side.","Raised edge along the vertical side.
Slight elevation along the bottom edge.
Flat protrusion along the left side.
Small protrusion at the bottom center.
Curved protrusion on the bottom.","Circular holes aligned horizontally on the flat surface.
Rectangular slot positioned parallel to the L-shape's corner.
Smaller circular hole situated parallel to the rectangular slot.
Large circular hole positioned to the right of the smaller hole.
Rectangular slot positioned below the circular holes.
Base of the bracket perpendicular to the main L-shape."
M58-FORK定位檢知片,2,"L-shaped metal bracket with a flat base.
Rectangular base with a curved extension.
Central circular opening aligned with the L-shape.
Flat top surface with defined edges.","One large circular hole centrally located.
Two smaller circular holes aligned horizontally.
Rectangular slot near the bottom edge.
Semi-circular notch on one side.
Small rectangular slot near the top edge.","Raised edges along the vertical side.
Slight indentation on the horizontal arm.
Smooth, flat protrusion on one side.
Raised border along the bottom edge.
Protruding tab on the horizontal section.","Circular holes aligned horizontally on the flat surface.
Rectangular slot positioned below the larger circular hole.
Semi-circular notch adjacent to the slot.
Flat base extends horizontally from the L-shaped corner.
Rectangular slot aligned parallel to the base."
M58-FORK定位檢知片,3,"L-shaped metal bracket configuration.
Main body features a rigid structure with a flat base extending from the L-shape.
The component has a smooth transition between the L-shape and the flat base.","One large circular hole positioned centrally on the flat surface.
Smaller circular holes located near the right edge and top edge.
Rectangular slots positioned parallel to the base and on the vertical side.","Raised edges along the sides and vertical side of the bracket.
Slight protrusion on the left side and bottom left corner.
Curved protrusion on one side of the bracket.","The large circular hole is centrally aligned with the base and L-shape's curve.
Smaller circular holes are offset from the larger hole towards the right and positioned above or adjacent to the rectangular slots.
Rectangular slots are positioned parallel to the base and aligned with the vertical side or L-shape's corner."
M58-FORK定位檢知片,4,"L-shaped metal bracket configuration.
Main body features a rigid structure with a flat base extending from the L-shape.","One large circular hole positioned centrally.
Multiple smaller circular holes, some aligned horizontally.
Rectangular slots near the bottom and top edges.
Semi-circular cutout at the base.","Raised edges along the vertical side.
Slight indentation on the bottom edge.
Protruding tab on one side.
Curved protrusion on the right side.","The smaller hole is positioned above the larger central hole.
The rectangular slot is positioned parallel to the base.
The circular holes are aligned horizontally.
The base is perpendicular to the main body of the bracket."
M58-FORK定位檢知片,5,"L-shaped metal bracket with a flat base extending from the L-shape.
The component has a right-angle bend at the corner of the L-shape.
The base of the bracket is rectangular in shape.","One large circular hole positioned centrally on the flat surface.
Two smaller circular holes on the flat surface, aligned horizontally.
A rectangular slot near the top edge of the flat surface.
A smaller oval slot positioned near the side of the component.","Raised edges along the vertical side of the L-shape.
A protruding lip along the bottom edge of the component.
A slight notch on the shorter side of the L-shape.
A curved protrusion on one side of the component.","The two circular holes are evenly spaced apart on the flat surface.
The rectangular slot is situated on the upper horizontal section.
The smaller hole is aligned vertically with the main hole.
The rectangular slot is positioned adjacent to the central hole."
M58-FORK定位檢知片,6,"L-shaped metal bracket configuration.
Main body features a rigid structure with a flat base extending from the L-shape.
The component has a curved vertical section connecting the horizontal and vertical parts.","One large circular hole positioned centrally on the flat face.
Two smaller circular holes symmetrically aligned on the flat surface.
A rectangular slot near the bottom edge, aligned parallel to the base.
A semi-circular indentation on the left side.
A narrow slot on the side of the L-shape.","Raised edges along the sides and bottom of the bracket.
Rounded corners at the intersection of the L-shape.
A protruding lip on the left edge.
A flat protrusion along the top edge.
A slight protrusion along the bottom edge.","The large circular hole is centrally aligned with the L-shape.
The two smaller circular holes are aligned horizontally and positioned near the top section.
The rectangular slot is positioned adjacent to the central hole and below the larger circular hole.
The curved section connects the horizontal and vertical parts of the bracket.
The vertical support connects the flat surface to the base, seamlessly integrating the structure."
M58-FORK定位檢知片,7,"L-shaped metal bracket configuration.
Main body features a rigid structure with a flat horizontal top section.
Flat base extends from the L-shape.","One large circular hole in the center.
Two smaller circular holes aligned horizontally on the flat surface.
Rectangular slot near the bottom edge.
Oval-shaped holes on the flat surface.","Raised edges along the sides of the L-shape.
Flat protrusion extending from the bottom.
Smooth, continuous contour on the main body.","The two circular holes are aligned horizontally on the flat surface.
The rectangular slot is positioned parallel to the longer side and near the bottom edge.
The large circular hole is centrally aligned with the L-shape.
The base extends horizontally from the vertical section."
M58-FORK定位檢知片,8,"L-shaped metal bracket with a flat base extending from the L-shape.
The component features a central vertical slot and a distinct bend in the middle.","One large circular hole centrally aligned on the main body.
Two smaller circular holes positioned symmetrically on the top surface.
A rectangular slot aligned with the bottom edge and the L-shaped bend.","Raised edges along the sides of the L-shape.
A flat protrusion on the bottom section and at the bottom left corner.
A raised edge along the vertical side of the L-shape.","The two smaller circular holes are aligned horizontally and symmetrically placed on the top.
The large circular hole is centrally located above the rectangular slot.
The rectangular slot is positioned adjacent to the L-shaped bend and aligned with the bottom edge."
M58-FORK定位檢知片,9,"L-shaped metal bracket configuration.
Main body features a rigid structure with a flat base extending from the L-shape.","One large circular hole positioned centrally.
Two smaller circular holes symmetrically placed on the top surface.
Rectangular slot positioned adjacent to the L-shape corner.
Curved notch on the lower side.","Raised edges along the sides of the L-shape.
Flat protrusion on the bottom edge.
Slight indentation along the connecting edge.","The two circular holes are symmetrically placed on the top surface.
The rectangular slot is positioned adjacent to the L-shape corner.
The large circular hole is centrally aligned with the bracket.
The smaller hole is positioned adjacent to the central opening."
M58-FORK定位檢知片,10,"L-shaped metal bracket with a flat base.
Rectangular base with a flat top surface.
Flat rectangular plate with a slight taper towards the bottom edges.","Two circular holes on the flat surface.
One large circular hole in the center.
Smaller circular hole near the corner.
Rectangular slot on the longer side.
Semi-circular cutout on the right side.","Raised edges along the sides of the L-shape.
Smooth transition between the flat and angled sections.
Protruding tab on the right side.
Notch on the bottom edge.
Raised edge along the vertical side.","Circular holes are aligned horizontally.
Smaller hole is positioned adjacent to the bend.
Rectangular slot is aligned parallel to the base of the L-shape.
Larger hole is aligned with the longer side of the L.
Holes are symmetrically placed on the L-shaped structure."
